date,state,parlimen,expenditure
2019-01-01,Perlis,P.001 Padang Besar,3154
2022-01-01,Perlis,P.001 Padang Besar,3584
2024-01-01,Perlis,P.001 Padang Besar,3828
2019-01-01,Perlis,P.002 Kangar,3694
2022-01-01,Perlis,P.002 Kangar,4115
2024-01-01,Perlis,P.002 Kangar,4250
2019-01-01,Perlis,P.003 Arau,3381
2022-01-01,Perlis,P.003 Arau,3746
2024-01-01,Perlis,P.003 Arau,4100
2019-01-01,Kedah,P.004 Langkawi,3334
2022-01-01,Kedah,P.004 Langkawi,3680
2024-01-01,Kedah,P.004 Langkawi,4356
2019-01-01,Kedah,P.005 Jerlun,2768
2022-01-01,Kedah,P.005 Jerlun,3518
2024-01-01,Kedah,P.005 Jerlun,4314
2019-01-01,Kedah,P.006 Kubang Pasu,4360
2022-01-01,Kedah,P.006 Kubang Pasu,4257
2024-01-01,Kedah,P.006 Kubang Pasu,4551
2019-01-01,Kedah,P.007 Padang Terap,3419
2022-01-01,Kedah,P.007 Padang Terap,3751
2024-01-01,Kedah,P.007 Padang Terap,3872
2019-01-01,Kedah,P.008 Pokok Sena,3564
2022-01-01,Kedah,P.008 Pokok Sena,4289
2024-01-01,Kedah,P.008 Pokok Sena,4776
2019-01-01,Kedah,P.009 Alor Setar,4146
2022-01-01,Kedah,P.009 Alor Setar,4077
2024-01-01,Kedah,P.009 Alor Setar,4362
2019-01-01,Kedah,P.010 Kuala Kedah,4183
2022-01-01,Kedah,P.010 Kuala Kedah,4270
2024-01-01,Kedah,P.010 Kuala Kedah,4296
2019-01-01,Kedah,P.011 Pendang,2798
2022-01-01,Kedah,P.011 Pendang,3562
2024-01-01,Kedah,P.011 Pendang,3914
2019-01-01,Kedah,P.012 Jerai,2635
2022-01-01,Kedah,P.012 Jerai,3135
2024-01-01,Kedah,P.012 Jerai,3718
2019-01-01,Kedah,P.013 Sik,2921
2022-01-01,Kedah,P.013 Sik,3530
2024-01-01,Kedah,P.013 Sik,3675
2019-01-01,Kedah,P.014 Merbok,3394
2022-01-01,Kedah,P.014 Merbok,4297
2024-01-01,Kedah,P.014 Merbok,4259
2019-01-01,Kedah,P.015 Sungai Petani,3255
2022-01-01,Kedah,P.015 Sungai Petani,3713
2024-01-01,Kedah,P.015 Sungai Petani,3662
2019-01-01,Kedah,P.016 Baling,2535
2022-01-01,Kedah,P.016 Baling,2732
2024-01-01,Kedah,P.016 Baling,3041
2019-01-01,Kedah,P.017 Padang Serai,3038
2022-01-01,Kedah,P.017 Padang Serai,3809
2024-01-01,Kedah,P.017 Padang Serai,4114
2019-01-01,Kedah,P.018 Kulim-Bandar Baharu,3209
2022-01-01,Kedah,P.018 Kulim-Bandar Baharu,3100
2024-01-01,Kedah,P.018 Kulim-Bandar Baharu,3561
2019-01-01,Kelantan,P.019 Tumpat,3377
2022-01-01,Kelantan,P.019 Tumpat,3831
2024-01-01,Kelantan,P.019 Tumpat,4181
2019-01-01,Kelantan,P.020 Pengkalan Chepa,3635
2022-01-01,Kelantan,P.020 Pengkalan Chepa,3694
2024-01-01,Kelantan,P.020 Pengkalan Chepa,4318
2019-01-01,Kelantan,P.021 Kota Bharu,3569
2022-01-01,Kelantan,P.021 Kota Bharu,3688
2024-01-01,Kelantan,P.021 Kota Bharu,4436
2019-01-01,Kelantan,P.022 Pasir Mas,3612
2022-01-01,Kelantan,P.022 Pasir Mas,3275
2024-01-01,Kelantan,P.022 Pasir Mas,3878
2019-01-01,Kelantan,P.023 Rantau Panjang,2715
2022-01-01,Kelantan,P.023 Rantau Panjang,3188
2024-01-01,Kelantan,P.023 Rantau Panjang,3307
2019-01-01,Kelantan,P.024 Kubang Kerian,4033
2022-01-01,Kelantan,P.024 Kubang Kerian,4593
2024-01-01,Kelantan,P.024 Kubang Kerian,4318
2019-01-01,Kelantan,P.025 Bachok,2742
2022-01-01,Kelantan,P.025 Bachok,3282
2024-01-01,Kelantan,P.025 Bachok,3579
2019-01-01,Kelantan,P.026 Ketereh,3710
2022-01-01,Kelantan,P.026 Ketereh,3634
2024-01-01,Kelantan,P.026 Ketereh,4221
2019-01-01,Kelantan,P.027 Tanah Merah,2984
2022-01-01,Kelantan,P.027 Tanah Merah,3294
2024-01-01,Kelantan,P.027 Tanah Merah,3598
2019-01-01,Kelantan,P.028 Pasir Puteh,3105
2022-01-01,Kelantan,P.028 Pasir Puteh,3525
2024-01-01,Kelantan,P.028 Pasir Puteh,3745
2019-01-01,Kelantan,P.029 Machang,3056
2022-01-01,Kelantan,P.029 Machang,3267
2024-01-01,Kelantan,P.029 Machang,3411
2019-01-01,Kelantan,P.030 Jeli,2307
2022-01-01,Kelantan,P.030 Jeli,2876
2024-01-01,Kelantan,P.030 Jeli,3282
2019-01-01,Kelantan,P.031 Kuala Krai,2505
2022-01-01,Kelantan,P.031 Kuala Krai,2853
2024-01-01,Kelantan,P.031 Kuala Krai,2863
2019-01-01,Kelantan,P.032 Gua Musang,2900
2022-01-01,Kelantan,P.032 Gua Musang,3543
2024-01-01,Kelantan,P.032 Gua Musang,3655
2019-01-01,Terengganu,P.033 Besut,3840
2022-01-01,Terengganu,P.033 Besut,4182
2024-01-01,Terengganu,P.033 Besut,4315
2019-01-01,Terengganu,P.034 Setiu,3621
2022-01-01,Terengganu,P.034 Setiu,4575
2024-01-01,Terengganu,P.034 Setiu,4644
2019-01-01,Terengganu,P.035 Kuala Nerus,4715
2022-01-01,Terengganu,P.035 Kuala Nerus,4855
2024-01-01,Terengganu,P.035 Kuala Nerus,5222
2019-01-01,Terengganu,P.036 Kuala Terengganu,4599
2022-01-01,Terengganu,P.036 Kuala Terengganu,4988
2024-01-01,Terengganu,P.036 Kuala Terengganu,5512
2019-01-01,Terengganu,P.037 Marang,4225
2022-01-01,Terengganu,P.037 Marang,4759
2024-01-01,Terengganu,P.037 Marang,5160
2019-01-01,Terengganu,P.038 Hulu Terengganu,3853
2022-01-01,Terengganu,P.038 Hulu Terengganu,4508
2024-01-01,Terengganu,P.038 Hulu Terengganu,4590
2019-01-01,Terengganu,P.039 Dungun,4688
2022-01-01,Terengganu,P.039 Dungun,5219
2024-01-01,Terengganu,P.039 Dungun,5833
2019-01-01,Terengganu,P.040 Kemaman,4652
2022-01-01,Terengganu,P.040 Kemaman,4978
2024-01-01,Terengganu,P.040 Kemaman,5644
