state,date,avg_expenditure
Johor,2019-01-01,4377.153846153846
Johor,2022-01-01,4819.7692307692305
Johor,2024-01-01,5347.5
Kedah,2019-01-01,3303.9333333333334
Kedah,2022-01-01,3714.6666666666665
Kedah,2024-01-01,4031.4
Kelantan,2019-01-01,3160.714285714286
Kelantan,2022-01-01,3467.3571428571427
Kelantan,2024-01-01,3770.8571428571427
Melaka,2019-01-01,4932.5
Melaka,2022-01-01,5618.5
Melaka,2024-01-01,6107.833333333333
Negeri Sembilan,2019-01-01,4105.75
Negeri Sembilan,2022-01-01,4299.875
Negeri Sembilan,2024-01-01,4679.125
Pahang,2019-01-01,3581.714285714286
Pahang,2022-01-01,3968.6428571428573
Pahang,2024-01-01,4229.714285714285
Perak,2019-01-01,3443.5833333333335
Perak,2022-01-01,3697.3333333333335
Perak,2024-01-01,4020.2083333333335
Perlis,2019-01-01,3409.6666666666665
Perlis,2022-01-01,3815.0
Perlis,2024-01-01,4059.3333333333335
Pulau Pinang,2019-01-01,4541.153846153846
Pulau Pinang,2022-01-01,5160.692307692308
Pulau Pinang,2024-01-01,5719.923076923077
Sabah,2019-01-01,2792.12
Sabah,2022-01-01,3307.84
Sabah,2024-01-01,3500.48
Sarawak,2019-01-01,3103.3225806451615
Sarawak,2022-01-01,3430.5806451612902
Sarawak,2024-01-01,3739.2258064516127
Selangor,2019-01-01,5421.409090909091
Selangor,2022-01-01,6427.136363636364
Selangor,2024-01-01,6929.136363636364
Terengganu,2019-01-01,4274.125
Terengganu,2022-01-01,4758.0
Terengganu,2024-01-01,5115.0
W.P. Kuala Lumpur,2019-01-01,6783.545454545455
W.P. Kuala Lumpur,2022-01-01,7621.454545454545
W.P. Kuala Lumpur,2024-01-01,8199.09090909091
W.P. Labuan,2019-01-01,4097.0
W.P. Labuan,2022-01-01,4176.0
W.P. Labuan,2024-01-01,4497.0
W.P. Putrajaya,2019-01-01,7980.0
W.P. Putrajaya,2022-01-01,8897.0
W.P. Putrajaya,2024-01-01,9186.0
