state,date,income_mean,income_median,poverty_absolute,poverty_hardcore,poverty_relative,income_gap
Johor,2022-01-01,8517,6879.0,4.6,0.1,15.9,1638.0
Kedah,2022-01-01,5550,4402.0,9.0,0.3,11.9,1148.0
Kelantan,2022-01-01,4885,3614.0,13.2,0.8,12.2,1271.0
Melaka,2022-01-01,8057,6210.0,4.2,0.1,13.2,1847.0
Negeri Sembilan,2022-01-01,6788,5226.0,4.4,0.1,13.3,1562.0
Pahang,2022-01-01,5777,4753.0,6.3,0.1,7.7,1024.0
Perak,2022-01-01,5779,4494.0,7.5,0.2,13.5,1285.0
Perlis,2022-01-01,5664,4713.0,4.0,0.1,12.6,951.0
Pulau Pinang,2022-01-01,8267,6502.0,2.0,0.1,15.3,1765.0
Sabah,2022-01-01,6171,4577.0,19.7,1.2,14.5,1594.0
Sarawak,2022-01-01,6457,4978.0,10.8,0.4,16.2,1479.0
Selangor,2022-01-01,12233,9983.0,1.5,0.0,14.2,2250.0
Terengganu,2022-01-01,7248,5878.0,6.2,0.2,6.9,1370.0
W.P. Kuala Lumpur,2022-01-01,13325,10234.0,1.4,0.0,12.7,3091.0
W.P. Labuan,2022-01-01,8250,6904.0,2.5,0.0,7.0,1346.0
W.P. Putrajaya,2022-01-01,13473,10056.0,0.1,0.0,11.4,3417.0
