state,date,income_mean,income_median,avg_expenditure,poverty_absolute,living_pressure,income_gap
Johor,2022-01-01,8517,6879.0,4819.7692307692305,4.6,0.7006496919274939,1638.0
Kedah,2022-01-01,5550,4402.0,3714.6666666666665,9.0,0.8438588520369529,1148.0
Kelantan,2022-01-01,4885,3614.0,3467.3571428571427,13.2,0.9594236698553245,1271.0
Melaka,2022-01-01,8057,6210.0,5618.5,4.2,0.9047504025764895,1847.0
Negeri Sembilan,2022-01-01,6788,5226.0,4299.875,4.4,0.8227851128970533,1562.0
Pahang,2022-01-01,5777,4753.0,3968.6428571428573,6.3,0.8349764058789938,1024.0
Perak,2022-01-01,5779,4494.0,3697.3333333333335,7.5,0.822726598427533,1285.0
Perlis,2022-01-01,5664,4713.0,3815.0,4.0,0.8094631869297687,951.0
Pulau Pinang,2022-01-01,8267,6502.0,5160.692307692308,2.0,0.7937084447388969,1765.0
Sabah,2022-01-01,6171,4577.0,3307.84,19.7,0.7227091981647368,1594.0
Sarawak,2022-01-01,6457,4978.0,3430.5806451612902,10.8,0.6891483819126738,1479.0
Selangor,2022-01-01,12233,9983.0,6427.136363636364,1.5,0.6438081101508929,2250.0
Terengganu,2022-01-01,7248,5878.0,4758.0,6.2,0.8094589996597482,1370.0
W.P. Kuala Lumpur,2022-01-01,13325,10234.0,7621.454545454545,1.4,0.7447190292607528,3091.0
W.P. Labuan,2022-01-01,8250,6904.0,4176.0,2.5,0.6048667439165701,1346.0
W.P. Putrajaya,2022-01-01,13473,10056.0,8897.0,0.1,0.8847454256165473,3417.0
