state,date,poverty_absolute,poverty_hardcore,poverty_relative
Johor,2022-01-01,4.6,0.1,15.9
Kedah,2022-01-01,9.0,0.3,11.9
Kelantan,2022-01-01,13.2,0.8,12.2
Melaka,2022-01-01,4.2,0.1,13.2
Negeri Sembilan,2022-01-01,4.4,0.1,13.3
Pahang,2022-01-01,6.3,0.1,7.7
Perak,2022-01-01,7.5,0.2,13.5
Perlis,2022-01-01,4.0,0.1,12.6
Pulau Pinang,2022-01-01,2.0,0.1,15.3
Sabah,2022-01-01,19.7,1.2,14.5
Sarawak,2022-01-01,10.8,0.4,16.2
Selangor,2022-01-01,1.5,0.0,14.2
Terengganu,2022-01-01,6.2,0.2,6.9
W.P. Kuala Lumpur,2022-01-01,1.4,0.0,12.7
W.P. Labuan,2022-01-01,2.5,0.0,7.0
W.P. Putrajaya,2022-01-01,0.1,0.0,11.4
