state,date,poverty_type,poverty_value,poverty_label
Johor,2022-01-01,poverty_absolute,4.6,Absolute poverty
Kedah,2022-01-01,poverty_absolute,9.0,Absolute poverty
Kelantan,2022-01-01,poverty_absolute,13.2,Absolute poverty
Melaka,2022-01-01,poverty_absolute,4.2,Absolute poverty
Negeri Sembilan,2022-01-01,poverty_absolute,4.4,Absolute poverty
Pahang,2022-01-01,poverty_absolute,6.3,Absolute poverty
Perak,2022-01-01,poverty_absolute,7.5,Absolute poverty
Perlis,2022-01-01,poverty_absolute,4.0,Absolute poverty
Pulau Pinang,2022-01-01,poverty_absolute,2.0,Absolute poverty
Sabah,2022-01-01,poverty_absolute,19.7,Absolute poverty
Sarawak,2022-01-01,poverty_absolute,10.8,Absolute poverty
Selangor,2022-01-01,poverty_absolute,1.5,Absolute poverty
Terengganu,2022-01-01,poverty_absolute,6.2,Absolute poverty
W.P. Kuala Lumpur,2022-01-01,poverty_absolute,1.4,Absolute poverty
W.P. Labuan,2022-01-01,poverty_absolute,2.5,Absolute poverty
W.P. Putrajaya,2022-01-01,poverty_absolute,0.1,Absolute poverty
Johor,2022-01-01,poverty_hardcore,0.1,Hardcore poverty
Kedah,2022-01-01,poverty_hardcore,0.3,Hardcore poverty
Kelantan,2022-01-01,poverty_hardcore,0.8,Hardcore poverty
Melaka,2022-01-01,poverty_hardcore,0.1,Hardcore poverty
Negeri Sembilan,2022-01-01,poverty_hardcore,0.1,Hardcore poverty
Pahang,2022-01-01,poverty_hardcore,0.1,Hardcore poverty
Perak,2022-01-01,poverty_hardcore,0.2,Hardcore poverty
Perlis,2022-01-01,poverty_hardcore,0.1,Hardcore poverty
Pulau Pinang,2022-01-01,poverty_hardcore,0.1,Hardcore poverty
Sabah,2022-01-01,poverty_hardcore,1.2,Hardcore poverty
Sarawak,2022-01-01,poverty_hardcore,0.4,Hardcore poverty
Selangor,2022-01-01,poverty_hardcore,0.0,Hardcore poverty
Terengganu,2022-01-01,poverty_hardcore,0.2,Hardcore poverty
W.P. Kuala Lumpur,2022-01-01,poverty_hardcore,0.0,Hardcore poverty
W.P. Labuan,2022-01-01,poverty_hardcore,0.0,Hardcore poverty
W.P. Putrajaya,2022-01-01,poverty_hardcore,0.0,Hardcore poverty
Johor,2022-01-01,poverty_relative,15.9,Relative poverty
Kedah,2022-01-01,poverty_relative,11.9,Relative poverty
Kelantan,2022-01-01,poverty_relative,12.2,Relative poverty
Melaka,2022-01-01,poverty_relative,13.2,Relative poverty
Negeri Sembilan,2022-01-01,poverty_relative,13.3,Relative poverty
Pahang,2022-01-01,poverty_relative,7.7,Relative poverty
Perak,2022-01-01,poverty_relative,13.5,Relative poverty
Perlis,2022-01-01,poverty_relative,12.6,Relative poverty
Pulau Pinang,2022-01-01,poverty_relative,15.3,Relative poverty
Sabah,2022-01-01,poverty_relative,14.5,Relative poverty
Sarawak,2022-01-01,poverty_relative,16.2,Relative poverty
Selangor,2022-01-01,poverty_relative,14.2,Relative poverty
Terengganu,2022-01-01,poverty_relative,6.9,Relative poverty
W.P. Kuala Lumpur,2022-01-01,poverty_relative,12.7,Relative poverty
W.P. Labuan,2022-01-01,poverty_relative,7.0,Relative poverty
W.P. Putrajaya,2022-01-01,poverty_relative,11.4,Relative poverty
